"District
,Total,0,0,0,0,0,0,0,,,,,
"Relief
Distributed
- Others",District,Baby Food,,Baby Food Solid,,Others,,,,,,,
,,Liquid,,,,,,,,,,,
,"Dibruga
rh",,,,,,,,,,,,
,"Kamrup
(M)",,,,,,,,,,,,
"Infrastruct
ure
Damaged -
Road",District,Numbe,Revenu,Road Name,,Departm,Village,Location,,Longitu,Latitude,Remarks,
,,r,e Circle,,,ent,,,,de,,,
,"Dibruga
rh",0,"(Dibruga
rh East |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,"Kamrup
(M)",0,"(Dispur
| 0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,"(Guwah
ati | 0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,"(Sonapu
r | 0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Total,0,,,,,,,,,,,
"Infrastruct
ure",District,Numbe,Revenu,Bridge Name,,Departm,Village,Location,,Longitu,Latitude,Remarks,
,,r,e Circle,,,ent,,,,de,,,
"Damaged -
Bridge","Dibruga
rh",0,"(Dibruga
rh East |
0)",Nil,,Nil,Nil,Nil,Nil,Nil,Nil,,
,"Kamrup
(M)",0,"(Dispur
| 0)",Nil,,Nil,Nil,Nil,Nil,Nil,Nil,,
,,,"(Guwah
ati | 0)",Nil,,Nil,Nil,Nil,Nil,Nil,Nil,,
,,,"(Sonapu
r | 0)",Nil,,Nil,Nil,Nil,Nil,Nil,Nil,,
,Total,0,,,,,,,,,,,
"Infrastruct
ure
Damaged -
Others",District,Revenu,Damage,Numb,Name,Departm,Village,Location,Longitu,Latitude,Remarks,,
,,e Circle,s,er,,ent,,,de,,,,
,"Dibruga
rh","Dibruga
rh East",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
,"Kamrup
(M)",Dispur,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
,,"Guwah
ati",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
,,"Sonapu
r",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
,,,,,,,,,,,,,
Remarks,District,Details,,,,,,,,,,,
,"Dibruga
rh","(Dibrugarh East - In order to mitigate the water logging problem, 03 Nos. of dewatering pump has been engaged at Tinkunia, Near DMC and
Thakurbari. Moreover, 01 No. of Excavator (from NHIDCL) is also operating at A.T Road near Bongal Gaon and Japihojia Gaon since morning
to mitigate the drainage problems.)",,,,,,,,,,,
,"Kamrup
(M)",,,,,,,,,,,,
,Report Generated On: 05-08-2024 06:49 PM,,,,,,,,,,,,
