District,RevenueCircle,Number of damages,Date
Tamulpur,Tamulpur ,1,2023-06-20
Tamulpur,Goreswar ,1,2023-06-24
Tamulpur,Goreswar ,1,2023-06-16
Tamulpur,Goreswar ,3,2023-06-23
Tamulpur,Tamulpur ,5,2023-06-21
Tamulpur,Goreswar ,1,2023-06-18
Tamulpur,Tamulpur ,5,2023-06-18
Tamulpur,Tamulpur ,9,2023-06-22
Udalguri,Harisinga ,1,2023-06-16
Udalguri,Khoirabari ,1,2023-06-18
Udalguri,Harisinga ,3,2023-06-22
Udalguri,Mazbat ,6,2023-06-21
Kamrup,"North
Guwahati ",1,2023-06-19
Kamrup,Goroimari ,2,2023-06-21
Kamrup,Palasbari ,2,2023-06-17
Kamrup,Rangia ,1,2023-06-17
Kamrup,Rangia ,2,2023-06-24
Kamrup,Palasbari ,2,2023-06-24
Kamrup,Goroimari ,5,2023-06-20
Kamrup,Hajo ,3,2023-06-20
Cachar,Silchar ,1,2023-06-18
Cachar,Udharbond ,6,2023-06-18
Cachar,Silchar ,19,2023-06-23
Cachar,Udharbond ,10,2023-06-23
Nagaon,Raha ,1,2023-06-19
Nagaon,Raha ,2,2023-06-20
Nagaon,Kampur ,2,2023-06-21
Nagaon,Kampur ,2,2023-06-18
Kokrajhar,Dotoma ,1,2023-06-24
Kokrajhar,Bagribari ,2,2023-06-20
Kokrajhar,Gossaigaon ,4,2023-06-20
Kokrajhar,Dotoma ,9,2023-06-19
Kokrajhar,Bagribari ,5,2023-06-23
Kokrajhar,Gossaigaon ,1,2023-06-23
Kokrajhar,Dotoma ,2,2023-06-23
Kokrajhar,Bhawraguri ,1,2023-06-22
Kokrajhar,Bagribari ,2,2023-06-22
Kokrajhar,Dotoma ,1,2023-06-22
Kokrajhar,Gossaigaon ,4,2023-06-22
Kokrajhar,Bagribari ,1,2023-06-21
Kokrajhar,Gossaigaon ,1,2023-06-21
Kokrajhar,Bhawraguri ,1,2023-06-21
Kokrajhar,Dotoma ,6,2023-06-21
Chirang,Bijni ,1,2023-06-20
Chirang,Bijni ,2,2023-06-22
Chirang,Bijni ,2,2023-06-21
Chirang,Bijni ,2,2023-06-19
Chirang,Bijni ,5,2023-06-23
Chirang,Sidli ,1,2023-06-23
Baksa,Baganpara ,1,2023-06-21
Baksa,Barama ,1,2023-06-19
Baksa,Barama ,2,2023-06-23
Baksa,Baganpara ,2,2023-06-22
Baksa,Jalah ,1,2023-06-22
Baksa,Jalah ,6,2023-06-24
Golaghat,Dergaon ,1,2023-06-19
Golaghat,Golaghat ,2,2023-06-25
Golaghat,Golaghat ,3,2023-06-24
Karimganj,Nilambazar ,1,2023-06-20
Karimganj,Patherkandi ,2,2023-06-25
Karimganj,Karimganj ,2,2023-06-23
Karimganj,Patherkandi ,3,2023-06-24
Bongaigaon,Manikpur ,2,2023-06-21
Bongaigaon,Bongaigaon ,6,2023-06-21
Bongaigaon,Srijangram ,9,2023-06-21
Bongaigaon,Manikpur ,14,2023-06-25
Bongaigaon,Srijangram ,5,2023-06-25
Bongaigaon,Bongaigaon ,2,2023-06-20
Bongaigaon,Boitamari ,3,2023-06-20
Bongaigaon,Manikpur ,7,2023-06-20
Bongaigaon,Srijangram ,14,2023-06-20
Bongaigaon,Bongaigaon ,9,2023-06-24
Bongaigaon,Boitamari ,6,2023-06-24
Bongaigaon,Manikpur ,16,2023-06-24
Bongaigaon,Srijangram ,12,2023-06-24
Dhubri,Chapar ,2,2023-06-21
Dhubri,Golakganj ,6,2023-06-20
Dhubri,Golakganj ,1,2023-06-22
Dhubri,Dhubri ,13,2023-06-22
Dhubri,Bilasipara ,6,2023-06-22
Dhubri,Chapar ,8,2023-06-24
Dhubri,Dhubri ,1,2023-06-24
Dhubri,Bilasipara ,13,2023-06-24
Dhubri,Dhubri ,25,2023-06-23
Dhubri,Chapar ,22,2023-06-23
Dhubri,Bilasipara ,37,2023-06-23
Barpeta,Baghbor ,1,2023-06-25
Barpeta,Barpeta ,1,2023-06-21
Barpeta,Barpeta ,22,2023-06-24
Barpeta,Baghbor ,1,2023-06-23
Barpeta,Barpeta ,29,2023-06-23
Bajali,Bajali ,3,2023-06-21
Bajali,Bajali ,4,2023-06-22
Bajali,Sarupeta ,13,2023-06-23
Bajali,Bajali ,5,2023-06-23
Bajali,Sarupeta ,22,2023-06-24
Majuli,Majuli ,2,2023-06-23
Majuli,Ujani Majuli ,1,2023-06-23
